"year" "mean"
"1" 1867 -1.94166666666667
"2" 1868 -3.55833333333333
"3" 1869 -2.48333333333333
"4" 1870 -1.78333333333333
"5" 1871 -1.00833333333333
"6" 1872 -0.191666666666667
"7" 1873 -2.09166666666667
"8" 1874 -2.15833333333333
"9" 1875 -1.65
"10" 1876 -1.525
"11" 1877 -1.98333333333333
"12" 1878 -0.433333333333333
"13" 1879 -1.78333333333333
"14" 1880 -2.09166666666667
"15" 1881 -1.35833333333333
"16" 1882 -3.74166666666667
"17" 1883 -3.76666666666667
"18" 1884 -4.63333333333333
"19" 1885 -1.98333333333333
"20" 1886 -2.89166666666667
"21" 1887 -3
"22" 1888 -1.33333333333333
"23" 1889 -2.34166666666667
"24" 1890 -2.64166666666667
"25" 1891 -2.60833333333333
"26" 1892 -1.05833333333333
"27" 1893 -1.46666666666667
"28" 1894 -3.45
"29" 1895 -0.691666666666667
"30" 1896 -3.14166666666667
"31" 1897 -2.21666666666667
"32" 1898 -4.21666666666667
"33" 1899 -2.38333333333333
"34" 1900 -1.41666666666667
"35" 1901 -1.08333333333333
"36" 1902 -1.68333333333333
"37" 1903 -1.875
"38" 1904 -2.475
"39" 1905 -1.68333333333333
"40" 1906 -2.96666666666667
"41" 1907 -3.25
"42" 1908 -1.76666666666667
"43" 1909 -1.525
"44" 1910 -2.55833333333333
"45" 1911 -2.4
"46" 1912 -1.15
"47" 1913 -2.81666666666667
"48" 1914 -3.425
"49" 1915 -0.925
"50" 1916 0.0333333333333333
"51" 1917 -0.3
"52" 1918 -3.14166666666667
"53" 1919 -1.34166666666667
"54" 1920 -2.58333333333333
"55" 1921 -2.85833333333333
"56" 1922 -2.31666666666667
"57" 1923 -0.7
"58" 1924 -0.708333333333333
"59" 1925 -1.54166666666667
"60" 1926 -0.225
"61" 1927 -0.6
"62" 1928 0.2
"63" 1929 0.45
"64" 1930 -0.608333333333333
"65" 1931 -0.741666666666667
"66" 1932 0.0999999999999999
"67" 1933 -0.591666666666667
"68" 1934 -0.85
"69" 1935 -0.283333333333333
"70" 1936 0.283333333333333
"71" 1937 -1.33333333333333
"72" 1938 -2.53333333333333
"73" 1939 -0.3
"74" 1940 -0.241666666666667
"75" 1941 0.825
"76" 1942 -0.158333333333333
"77" 1943 -1.51666666666667
"78" 1944 -1.69166666666667
"79" 1945 -1.16666666666667
"80" 1946 -0.116666666666667
"81" 1947 0.766666666666667
"82" 1948 -1.39166666666667
"83" 1949 -2.44166666666667
"84" 1950 -0.958333333333333
"85" 1951 -1.26666666666667
"86" 1952 -0.583333333333333
"87" 1953 -1.39166666666667
"88" 1954 -1.2
"89" 1955 -0.283333333333333
"90" 1956 -1.68333333333333
"91" 1957 -0.691666666666667
"92" 1958 -0.175
"93" 1959 -1.05
"94" 1960 -0.0166666666666668
"95" 1961 -1.06666666666667
"96" 1962 -0.0416666666666666
"97" 1963 -0.441666666666667
"98" 1964 -0.983333333333333
"99" 1965 0.191666666666667
"100" 1966 -0.333333333333333
"101" 1967 -1.96666666666667
"102" 1968 -0.891666666666667
"103" 1969 -0.991666666666667
"104" 1970 -1.36666666666667
"105" 1971 -2.25833333333333
"106" 1972 -3.125
"107" 1973 -1.19166666666667
"108" 1974 -1.225
"109" 1975 -1.3
"110" 1976 -1.63333333333333
"111" 1977 0.216666666666667
"112" 1978 -1.1
"113" 1979 -0.65
"114" 1980 -0.475
"115" 1981 -1.16666666666667
"116" 1982 -3.04166666666667
"117" 1983 -4.075
"118" 1984 -4.43333333333333
"119" 1985 0.383333333333333
"120" 1986 -1.26666666666667
"121" 1987 -1.425
"122" 1988 -0.908333333333333
"123" 1989 -3.2
"124" 1990 -2.475
"125" 1991 -1.91666666666667
"126" 1992 -3.50833333333333
"127" 1993 -3.83333333333333
"128" 1994 -2.33333333333333
"129" 1995 -1.75
"130" 1996 -0.791666666666667
"131" 1997 -1.24166666666667
"132" 1998 -0.991666666666667
"133" 1999 -1.40833333333333
"134" 2000 -0.816666666666667
"135" 2001 -0.366666666666667
"136" 2002 -1.09166666666667
"137" 2003 0.508333333333333
"138" 2004 -0.4
"139" 2005 0.275
"140" 2006 -0.208333333333333
"141" 2007 -0.483333333333333
"142" 2008 -1.075
"143" 2009 -0.625
"144" 2010 2.61666666666667
"145" 2011 -1.725
"146" 2012 0.133333333333333
"147" 2013 -0.3
