sale,normalSale,store
12,5.2,158
59,23.5,159
35,9.25,160
48,6.2,161
16,7.6,164
5,2.2,165
11,10.8,166
39,4,167
46,8.8,169
20,6.5,171
19,4,172
16,8.2,173
123,11.8,176
12,4,179
58,20.25,180
26,5.5,181
13,2,182
11,6.6,184
16,6.2,186
11,5.2,188
17,4,189
13,4.6,193
22,5.2,197
25,8,198
9,4.6,199
7,4.8,201
55,8.2,203
5,3,204
7,3.25,205
11,1.6,207
24,7.6,209
12,10,210
4,1.2,211
45,4.6,212
27,18.2,213
58,20,214
29,9.2,216
191,22.2,217
14,13.25,219
20,12.4,221
10,1.8,224
15,3.6,226
22,11,1
15,7.4,2
18,10,3
24,7.33,4
16,9.25,5
28,11.4,6
21,5.25,7
30,8.6,8
133,21,9
243,37.6,10
20,14.8,11
62,9.8,12
3,3.75,13
10,9.25,14
33,9.25,15
15,6.6,16
180,24.25,17
84,12.8,18
37,17,19
22,11.6,20
44,14.6,21
50,18.5,227
8,6.4,228
17,2.6,229
28,5.25,230
11,1,231
6,4.6,232
31,11.5,22
18,11,24
33,11.33,29
13,5.75,30
18,4.75,31
21,6,32
13,11,33
13,6,36
72,19.4,38
45,15.8,41
56,10.6,42
10,3.6,44
35,11.8,47
19,6,48
6,6.4,49
26,9.2,50
23,8.6,51
23,8.8,54
33,15.8,55
17,8,56
23,9.2,58
9,5.2,59
15,6,60
12,11.8,62
27,11.2,63
24,11.5,72
24,4,74
24,10.8,75
17,4,78
21,8.2,80
20,9.8,81
9,6.6,82
1,0.4,83
25,15.4,84
37,11.6,85
19,11.25,86
6,6.67,92
17,9.8,94
7,4.5,96
39,13,236
39,7,237
21,3.25,238
111,23.2,239
52,12.5,240
41,7.25,242
12,6.4,243
22,3.4,245
13,2.6,246
10,5.4,247
36,10.6,250
18,11.25,252
35,4,253
21,6.8,254
78,14.6,256
24,6.2,257
23,13.4,258
131,12,259
7,2.4,260
13,4.75,261
24,8.25,262
33,12,263
19,7.33,264
13,4,265
28,6.8,266
15,7.4,270
25,3.6,276
76,12.8,277
9,10.8,278
15,1.6,279
16,3.4,280
32,6,287
11,2.8,289
41,10.75,290
38,9,291
35,13.5,292
39,13,293
59,12,294
28,13,295
31,9,296
8,4,297
45,15,298
16,5.2,299
6,4,300
16,5.2,301
30,12.6,303
20,7.25,313
67,14.2,316
20,9.75,317
33,10.2,99
57,26.25,100
57,11.8,101
18,12,102
30,4,106
7,3.2,107
72,17,108
88,18,109
27,8.8,110
23,4.2,111
37,13,112
49,9.6,113
41,7,114
29,9.6,115
21,5,116
28,8,120
21,2.8,121
29,8.8,122
14,5.4,126
8,5.8,127
25,8.75,128
6,2,129
18,8.2,130
5,4.4,131
54,10.6,132
12,6.8,133
27,10.6,134
16,10.2,136
23,4.75,138
71,13.4,142
11,5.75,143
9,3.8,154
9,1.4,157
175,18.5,312
150,50.2,315
81,26.6,319
156,73.6,320
411,51.2,322
115,49,323
322,63,324
101,36.5,325
88,26,326
225,44.4,327
22,6.6,328
69,22.8,329
215,58.4,330
177,44.2,331
303,56.6,332
176,31.2,333
571,62.8,334
182,67,335
91,38,336
294,69,337
82,30.6,338
247,54,339
73,19,340
59,29.8,341
69,20.8,342
217,34.4,343
180,14.6,344
66,23.6,345
183,45,346
110,37.8,347
166,73,348
114,25,349
152,43.4,350
133,26.8,351
258,42.2,352
58,37.8,353
58,30.6,354
238,34.4,355
32,16.8,356
133,19.6,357
283,43.2,358
260,98.2,359
355,79.2,360
75,23.2,361
21,4.5,158
9,6.5,158
16,4.5,158
79,25.5,159
74,22,159
66,25.5,159
42,8.25,160
18,9,160
30,8.25,160
53,7,161
28,7,162
16,5,162
6,3,163
10,1.67,163
25,10,164
16,10.5,164
28,10,164
11,1.25,165
3,1.5,165
24,8.5,166
3,8,166
13,8.5,166
31,5.4,167
5,7,167
23,5,168
7,4,168
34,6.8,169
21,5.33,169
